,idConsulta,Latitud,Longitud,Times,idUsuario,HORA,FECHA
0,2,40.4167047,-3.7035825,2022-05-16 20:13:53,0,20:13,2022-05-16
1,3,40.4167047,-3.7035825,2022-05-16 20:20:22,0,20:20,2022-05-16
2,4,40.4167047,-3.7035825,2022-05-16 22:18:54,24,22:18,2022-05-16
3,5,40.4167047,-3.7035825,2022-05-16 22:19:25,24,22:19,2022-05-16
4,7,40.2573047,-3.8546109,2022-06-01 13:28:51,21,13:28,2022-06-01
5,8,40.43643785,-3.685702784896393,2022-06-01 13:29:48,25,13:29,2022-06-01
6,9,40.4350196,-3.719236,2022-06-01 13:31:09,23,13:31,2022-06-01
7,10,40.4209619,-3.7193334,2022-06-01 13:47:41,23,13:47,2022-06-01
8,11,40.4348504,-3.6564063,2022-06-01 13:47:53,23,13:47,2022-06-01
9,12,40.4267079,-3.7042311,2022-06-01 13:48:47,23,13:48,2022-06-01
10,13,40.4273084,-3.7105131,2022-06-01 13:49:05,23,13:49,2022-06-01
11,14,40.4347218,-3.7189723,2022-06-01 13:49:28,23,13:49,2022-06-01
12,15,40.4199905,-3.7037343,2022-06-01 13:50:08,23,13:50,2022-06-01
13,16,40.423449,-3.7108809,2022-06-01 13:50:32,24,13:50,2022-06-01
14,17,40.383894,-3.7064459,2022-06-01 13:50:50,24,13:50,2022-06-01
15,18,40.4112911,-3.7083094,2022-06-01 13:51:00,24,13:51,2022-06-01
16,19,40.383894,-3.7064459,2022-06-01 13:51:12,24,13:51,2022-06-01
17,20,40.4589872,-3.6761288,2022-06-01 13:51:53,24,13:51,2022-06-01
18,21,40.3965841,-3.5766216,2022-06-01 13:52:02,24,13:52,2022-06-01
19,22,40.43624735,-3.703830353451384,2022-06-01 13:52:20,24,13:52,2022-06-01
20,23,40.4649542,-3.717074,2022-06-01 13:53:36,22,13:53,2022-06-01
21,24,40.4981373,-3.717981485371445,2022-06-01 13:54:19,22,13:54,2022-06-01
22,25,40.4104552,-3.7968235,2022-06-01 13:54:29,22,13:54,2022-06-01
23,26,40.4292705,-3.7019295,2022-06-01 13:54:40,22,13:54,2022-06-01
24,27,40.4189526,-3.6737251,2022-06-01 13:55:17,22,13:55,2022-06-01
25,28,40.3914432,-3.6949558,2022-06-01 13:55:42,22,13:55,2022-06-01
26,29,40.406975,-3.688582,2022-06-01 13:56:11,25,13:56,2022-06-01
27,30,40.4467812,-3.7039643,2022-06-01 13:56:47,25,13:56,2022-06-01
